0.0092926
0.029936+0.0087621i
-0.00092178+0.001393i
-0.0030992+0.029468i
-0.0076231-0.01816i
0.0067691+0.0048907i
0.0090826+0.0013387i
-0.0066922+0.0043554i
-0.00016325-0.0036856i
0.0066151-0.00037242i
-0.0023881-0.0018261i
0.00036225-0.00030375i
0.00023748-0.0015712i
0.0020703+0.00017917i
0.0017442-0.0019563i
0.0022327-0.0016439i
0.0023346-0.00076294i
0.0011133-0.0012936i
0.0016037-0.001161i
0.0015126-0.0014482i
0.002555-0.0013293i
0.0029494-0.0027371i
0.0012959-0.00060151i
-0.00021005+0.0019313i
0.00074308+0.0014414i
0.0014898-0.0011227i
0.0016089-0.0021027i
0.0013307-0.00086434i
-0.0011509+0.0017966i
0.00022014-0.00083806i
0.00018153+0.00020788i
0.00076297-0.0005888i
0.0017242
-0.0036469
-0.03686-0.020407i
0.0016498-0.0088694i
-0.020299-0.014414i
0.032696+0.012495i
-0.012499-0.0063077i
0.006078-0.0096728i
0.0049047-0.0058071i
0.0037506+0.00030269i
0.0057187+0.0037742i
-0.0013858+0.00045443i
0.0032936-4.71e-05i
0.0013097+0.00042047i
0.0016096-0.0012167i
0.0010383-0.00012497i
0.0018202+0.00145i
0.00085449+0.0002594i
-0.00031546+0.00064559i
0.0011078+0.0025969i
0.0011447-0.00034999i
-0.00077787-0.0030429i
0.00226-3.4664e-05i
-0.00017414-0.0019935i
0.00048187-0.00023224i
0.0010101-0.0011011i
0.00070799+0.00037426i
-0.0013677-0.00085404i
0.00057903-0.0014065i
0.00046311+0.00085333i
0.00061678-0.00049792i
0.0015987-0.0004961i
0.00093815+0.0015315i
-0.0002594
0.043457
-0.010734+0.020712i
-0.02623-0.0017523i
-0.027467-0.01454i
0.0038512-0.0074212i
-0.0029018-0.022909i
0.0046521-0.0063298i
0.0050431-0.00068524i
-0.0067067+0.0013516i
0.0037506-0.0044071i
0.0023547-0.001136i
0.0034968-0.0023191i
0.00041987-0.0052563i
0.00098806-0.0022515i
0.00029942-0.00093617i
0.00064977-0.0031863i
0.00041199-0.0027924i
0.00086474+0.00048809i
-0.00044722-0.00055567i
0.00065905-0.0022058i
-0.00028706-0.0051159i
0.000483-0.0047871i
0.0016326-0.0019635i
0.0025233-4.4657e-05i
0.003716-0.00050999i
0.00077423+0.00092456i
0.00014312+0.00093713i
-0.00099786-0.001408i
-0.0016036-0.00087203i
0.00050282-0.00033997i
0.0012378-0.0031651i
0.0021015-0.00014417i
-0.0010681
0.031418
0.034149+0.045715i
0.014115+0.088527i
0.015873-0.067098i
-0.049524+0.051559i
-0.027798+0.037093i
-0.024785+0.0069816i
-0.014495-0.0011206i
-0.011878+0.0061811i
-0.00090253-0.0036268i
0.0011404+0.0081632i
-0.0039942+0.0070851i
-0.0086803+0.01069i
0.0011318+0.0044061i
-0.00057965+0.0019249i
-0.0045219+0.0028072i
-0.010086+0.003418i
-0.0068411+0.0072368i
0.0025758-0.011038i
0.0034177-0.0042149i
0.0036615-0.0072157i
-0.0044573-0.0021217i
-0.00016728-0.0038085i
-0.0083075-0.0028229i
-0.0038077-0.0047137i
-0.00085385-0.0017692i
-0.0025631+0.0068527i
0.0015226-0.0017076i
0.00052702+2.277e-05i
-0.0013223+0.00027806i
0.0040388-0.00024007i
-0.0038411+0.0014512i
-0.0034332
-0.052643
0.016023+0.035911i
-0.18406-0.024889i
0.10299-0.029652i
-0.061638+0.010243i
0.030349-0.011717i
-0.040372-0.026185i
0.013944-0.030309i
0.025217-0.00049629i
0.017259-0.00081346i
-0.0049617-0.012883i
-0.002527+0.0083217i
0.00079474-0.0060033i
-0.0013097+0.022878i
0.012327+0.0076347i
2.832e-05-0.010966i
0.0019531+0.0013123i
0.012968-0.0067786i
-0.012302-0.003486i
0.0029971+0.0027762i
-0.0042758+0.0023954i
-0.0031975+0.0047472i
0.0030216+0.007374i
0.0023609+0.0017968i
0.0026454+0.0067974i
0.0060032+0.0015893i
-0.0016183+0.0088873i
0.0053075-0.010606i
0.0045112-0.0011339i
-0.0011261+0.0017718i
-0.0012816-0.0030056i
0.0074062-0.0014488i
0.0072937
0.015259
-0.20909-0.012586i
0.14774-0.12039i
0.029843-0.081249i
-0.047014-0.035211i
0.005161+0.096985i
-0.0093865-0.014999i
0.00053806-0.0047179i
0.020885-0.012237i
-0.0079889+0.006109i
0.003117+0.030214i
0.0040037-0.0024504i
-0.0084023-0.0054514i
-0.011279+0.0019942i
-0.012169+0.0029401i
-0.00042708+0.0060929i
-0.009964+0.0047455i
-0.012155+0.016891i
-0.015612-0.0022647i
-0.009032+0.00069031i
0.00093244+0.013326i
-0.00087844+0.0099805i
-0.013441-0.0031585i
-0.010044+0.01245i
-0.0040391-0.0032348i
-0.0046731+0.003545i
-0.0087611+0.0034283i
-0.0014-0.00040007i
-0.0037438+0.0043181i
-0.0059819+0.00036682i
-0.0065218+0.0033517i
-0.0053676-0.0009778i
-0.0063171
0.00091553
-0.06708-0.083222i
-0.0020767-0.055385i
0.086622+0.021631i
0.050976-0.063086i
0.059064-0.018472i
-0.030269+0.00046688i
0.013136+0.010258i
-0.0090086+0.0027175i
-0.024099+0.017227i
-0.0091724+0.0058791i
0.029843-0.0089123i
0.01182-0.019899i
-0.00041055-0.0043292i
-0.0010291-0.013765i
0.0055307+0.00098948i
0.00062561-0.0014191i
0.0019785-0.021122i
-0.002131+0.0072665i
-0.0089675-0.0012115i
-0.00086776+0.0043373i
-0.00035037-0.0025222i
0.0053619-0.0051565i
0.0073174-0.0063629i
0.0040037-0.0021348i
0.0024847+0.0019167i
-9.5513e-05-0.0012423i
-0.0032069+0.0078395i
0.0013652-0.00070316i
0.0013253+0.0034811i
0.0029128-0.0035423i
0.00057175-0.00090272i
0.00064087
0.023117
0.023941-0.12266i
0.055544+0.004181i
-0.02216+0.034789i
-0.06454+0.12128i
0.018968+0.025975i
0.010774-0.008929i
-0.004564-0.020593i
-0.016947+0.017205i
0.0093158+0.00043089i
-0.0038889+0.029237i
0.016487+0.0090068i
-0.00327+0.013117i
-0.0054996+0.017452i
-7.8177e-05+0.010478i
0.00047838+0.0076651i
-0.0074158+0.0095367i
0.0013278+0.0016553i
-0.0074229-0.00076554i
-0.0008469+0.0085624i
-0.0013594-0.0071788i
-0.00067039+0.0028157i
0.006992+0.0040048i
-0.0017355-0.010098i
-0.0055749-0.011055i
-0.0033212-0.0056094i
0.0033276+0.0014274i
0.0024804+0.0039321i
-0.0026694-0.00076256i
-0.0049771-0.001232i
-0.0014049+0.00093858i
-0.0016356+0.00031217i
-0.0014496
0.043549
-0.049836-0.055434i
-0.079561+0.046038i
0.062642+0.094543i
0.066931-0.072216i
-0.031066-0.075736i
-0.01027+0.0052402i
0.042958-0.016856i
0.0063365-0.0094102i
0.016285-0.014633i
-0.011516-0.0077667i
0.011374-0.014788i
0.01071+0.0069966i
0.002628-0.0096037i
0.0055478-0.0032204i
0.0091031-0.0080613i
0.0070496-0.00079346i
-0.00051078-0.0084503i
0.0080338-0.00549i
0.010249-0.0019651i
0.010224-0.016985i
0.0019931-0.0027372i
0.0069592-0.014237i
-0.0085445+0.0071263i
0.0037038+0.0042312i
0.0086767+0.00039475i
0.0027786-0.0037153i
0.0033202+0.009234i
0.0010024-0.0028745i
0.0037051-0.0013268i
-0.00070719-9.8297e-05i
0.00027516-0.00043144i
0.0050354
0.0055084
-0.11777+0.016705i
-0.082655+0.029185i
-0.014429+0.014997i
0.043314+0.061615i
-0.056256-0.019977i
0.047444-0.019214i
0.018362-0.0075296i
-0.027339+0.015263i
-0.0015592-0.015969i
0.028676+0.0081799i
0.011599+0.0076393i
-0.0077792-0.0086219i
0.0085753-0.010559i
-0.0037747-0.0020116i
0.0011497-0.0023944i
0.0027313-0.0016479i
0.0011282+0.0092246i
-0.00043986+0.0046297i
0.010453-0.0034273i
-0.029061+0.0042282i
0.00053535+0.0062095i
0.0047467-0.0056515i
0.01139-0.0076336i
0.0032605+0.003727i
0.0031845+0.00052403i
-0.0083296+0.0036031i
0.0076132+0.0019191i
0.0046953-0.00060814i
-0.00038454+3.1528e-05i
0.0033456+0.0022844i
0.0043473+0.00044219i
0.0041046
-0.04512
-0.12189+0.031105i
0.043483-0.19713i
-0.026064-0.10557i
0.019921-0.01268i
0.028343+0.055176i
-0.00030979+0.02636i
-0.0064548+0.069915i
-0.021749+0.02862i
-0.01455+0.013286i
-0.016642+0.0015989i
-0.02097+0.0022739i
0.007078+0.013901i
0.0073812+0.0047784i
-0.0094592+0.0081517i
-0.002493+0.0076409i
-0.012161+0.0043945i
-0.016349-0.0037855i
0.011727-0.0074726i
-0.0056132+0.0012237i
-0.0090122+0.010228i
0.0062067+0.00032884i
0.0017743+0.0049857i
0.0078015-0.00032071i
-0.0037947+0.0042668i
0.0028188-0.00011793i
0.0016322+0.0057248i
-0.00075911-0.0030433i
-0.00010375-0.00011724i
-0.0010482-0.00099499i
-0.0018093-0.0014269i
-0.0026204-0.0012465i
-0.0038605
0.027878
-0.013397-0.11508i
0.03713+0.019009i
0.086838+0.014863i
-0.068427-0.061621i
0.035591+0.0054294i
0.015956+0.0041633i
-0.017734-0.0055165i
-0.02021+0.0050169i
0.01479-0.014124i
-0.010158-0.0048794i
-0.003345+0.0012927i
